Unnamed: 0,id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
31969,94306-19506552,9,86462,26374,USA,2021-06-09,0,0,Price change,1623974400000.0,1500000.0,1038.0,Palo Alto,CA,1980,4102 Thain Way,94306.0,-122.12582397460938,37.41083908081055,0,Charming Corner Unit Condo Uncommon for condos this home has a large private patio wrapping around two sides of the living room and also opening to the dining room. Multiple sliding glass doors create a spacious and wonderful indoor-outdoor home. Located a short walk away from cafes and stores you will love living in this peaceful community. The complex has ample parking a swimming pool a tennis court a spa and a sauna. Family members who are students will have a 5 minute walk to the elementary school and a 5 minute bike ride to either the middle school or the high school. Nearby sports centers learning centers and parks enable students to take care of many of their own needs. Inside this home features modern features and finishes. Natural light fills this home making it entirely enjoyable.,USD,1445.0,1445.0,sqft,2.0,2.0,0.0,1,0.0,0,0,1,1,0,0,CONDO,Santa Clara County
31469,91324-20183117,9,79000,12447,USA,2021-07-09,0,0,Listed for sale,1625788800000.0,770000.0,378.0,Northridge,CA,1963,19149 Malden St,91324.0,-118.5508270263672,34.225791931152344,0,This is the savvy investors gold mine. The hard work is done with upgrades to recessed lighting electrical outlets copper Plumming throughout sprinklers in front and back upgraded 200amp electrical panel with sub panel as well as Calcutta quartz countertops with waterfall bar. The roof replaced about 7 years ago and comes with warranty.  2 year old furnace that is energy efficient for central AC/heating with 5 ton compressor.     The property has 4 bedrooms and 2 bath in the main home.  A 1 bed / 1 bath with separate entrance to a unit used as a junior ADU attached to the front garage conversion. This income property is priced as an affordable single family 5 bedroom home. Buyers looking for supplemental rental income or who can use the separate spaces for extended family or for business purposes will appreciate this home.     The home has some minor remaining construction to complete to make it your own. Landscapping has not been completed and there is construction material Remaining in the backyard.,USD,2039.0,2039.0,sqft,3.0,5.0,0.0,0,0.0,0,One,0,0,0,0,SINGLE_FAMILY,Los Angeles County
14445,93307-18949325,9,185312,3506,USA,2021-06-28,0,0,Listed for sale,1624838400000.0,344999.0,241.0,Bakersfield,CA,1936,112 E White Ln,93307.0,-118.99822235107422,35.31787872314453,0,Looking for a Mini Ranch? here is your chance Take a look at this beautiful house located away from the city lights. featuring 3 beds and 2 baths big storage and a fantastic swimming pool for the summer.,USD,1429.0,1429.0,Acres,2.0,3.0,1429.0,1,2.0,1,One,1,0,0,0,SINGLE_FAMILY,Kern County
10536,96073-2076926501,9,132090,9940,USA,2021-04-26,0,0,Listed for sale,1607385600000.0,1975000.0,380.0,Palo Cedro,CA,2010,21731 Sunny Oaks Dr,96073.0,-122.24901580810548,40.57513427734375,0,"""One of a kind custom built home situated on 9.5 acres with spectacular views of the Lassen Range. Concrete floors counter tops/sinks showers fireplaces & columns throughout. State of the art kitchen with built-in refrigerator double ovens commercial cook-top and hood butlers pantry & more. Fully finished 3200 sq. ft. attached garage. Too many amenities to list!""",USD,5204.0,5204.0,Acres,4.0,4.0,5204.0,1,10.0,1,One,0,0,0,0,SINGLE_FAMILY,Shasta County
15319,93442-112786626,9,196374,39879,USA,2021-06-03,0,0,Listing removed,1624320000000.0,650000.0,0.0,Morro Bay,CA,0,2670 Laurel Ave,93442.0,-120.85203552246094,35.39238739013672,0,"""Fantastic white water and Morro Rock views. Build your dream home now! Fully approved plans for a 3-bedroom 3-bathroom 2150 square foot home including attached 485 square foot 2-car garage. Design includes 150 sf lower balcony and 150 sf upper balcony. This modern floor plan is an open concept design with 12ft ceilings in the dining room/living room area. To enjoy the striking white water views the master bedroom is located upstairs. Guest bedrooms are located on the ground floor. You will enjoy the large windows to take in the alluring full ocean view which cannot be blocked as the house would be above the lower neighbors. Plans include central air and heating. Choose your finishes and fixtures to your custom preference. This property has fully approved plans and is ready to pull construction permits. Check with the city of Morro Bay to confirm permit status. Added value is in the costs and arduous task going through the engineering design and permit process which took approximately 2 years to get to this point. Dont wait to enjoy your new home!""",USD,0.0,0.0,sqft,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,San Luis Obispo County
10734,95945-64668039,9,133561,11685,USA,2021-06-25,0,0,Listed for sale,1624579200000.0,900000.0,586.0,Grass Valley,CA,1972,11585 Brunswick Pines Rd,95945.0,-121.02484893798828,39.21649169921875,0,Live. Tranquil Moments. Behind the private gate enjoy this exquisite Garden retreat with end of road privacy offering indoor and outdoor living. This retreat offers a 3 bedroom two bath home a detached garage/art studio and guest studio offering more private spaces on over an acre. Be captivated by the serene flower gardens beautiful pond with fountain fire pit outdoor shower hot tub bocce ball court open air tea house and man made stream. Your own private garden offering over a dozen vegetable beds 23 fruit trees multiple plants of berries cooking and medical herbs. Room for RV parking and owned solar. Complete list of amenities and additional offerings available upon request. Experience it yourself!,USD,1536.0,1536.0,Acres,2.0,3.0,0.0,1,0.0,0,0,0,1,0,0,SINGLE_FAMILY,Nevada County
18552,95066-69307988,9,240719,54345,USA,2021-06-03,0,0,Listed for sale,1622678400000.0,1400000.0,693.0,Scotts Valley,CA,1938,1753 Glenwood Dr,95066.0,-122.00715637207033,37.08414459228515,0,Incredible opportunity for sweat equity in this ALL SINGLE LEVEL 4 bedroom house that also has a detached 3+ car garage with a 2 bedroom apartment over it on a dreamy and private 3.7 acres. Excellent income opportunity to help you with the mortgage payment. This lot is special very private and only 2 homes on this driveway. Just a couple of minutes from the high school and town including shopping and dining. You can cycle until your heart is content or hike the award winning Glenwood Preserve. This is a very unique property that does not come around often. **PLEASE DO NOT DRIVE THROUGH DRIVEWAY WITHOUT APPOINTMENT**,USD,2020.0,2020.0,Acres,2.0,4.0,0.0,1,0.0,0,0,0,0,0,0,SINGLE_FAMILY,Santa Cruz County
14535,95645-50946411,9,186171,48569,USA,2021-05-27,0,0,Price change,1625788800000.0,560000.0,319.0,Knights Landing,CA,1922,9468 Oak Grove Ave,95645.0,-121.72238159179688,38.79990005493164,0,Adorable country living in town! This classic home is situated on 3 lots with 3-bedroom  two baths in the main house.  Beautifully remodeled guest house with two bedrooms one bath and its own fully functioning kitchen.  Do you need space for your toys? There is a 33x40 three car covered carport and a 20x20 garage. New HVAC updated plumbing remodeled kitchen with new appliances new water heater in main house and guest house. There is plenty of room to entertain out back on the large custom patio or start your own garden in one of the many planter beds. Additional storage in the large basement and generous loft above the garage. There is a garret located in the master bedroom perfect for a quiet personal retreat. New roof on the guess house. Relax and enjoy in the new hot tub. This home has only been on the market three time since 1920 and sings with pride in ownership and love. All this home needs now is the next owner.,USD,1754.0,1754.0,Acres,3.0,3.0,0.0,1,0.0,0,0,0,0,0,0,SINGLE_FAMILY,Yolo County
14833,91941-2077589469,9,190804,46089,USA,2021-06-24,0,0,Price change,1624492800000.0,285000.0,0.0,La Mesa,CA,0,0 La Cruz Dr,91941.0,-116.98931121826172,32.768688201904304,0,"An amazing opportunity to own one of the few remaining vacant land parcels in the Mt. Helix community. And when you build your home will have amazing valley and ocean views! This over 10000 square foot is surrounded by exquisite homes. You’ll love our Mt. Helix neighborhood and the location to Mt. Helix Park; people come for the amazing views and take in the tranquility of the beautiful rock formations and native landscape. La Mesa is the ""Crown Jewel of East County"". All this and easy access to highways 125 94 and 8!",USD,0.0,0.0,sqft,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,San Diego County
1237,92054-16582008,9,14830,6285,USA,2021-07-07,0,0,Listed for sale,1625788800000.0,739900.0,580.0,Oceanside,CA,1960,312 Fowles St,92054.0,-117.34324645996094,33.20505905151367,0,Welcome home to this gorgeously remodeled throughout one story Oceanside home. Sitting on 1/4 acre this home has sweeping hillside views and cool ocean breezes. The home was upgraded throughout with stylish upgrades and cool A/C. Full kitchen remodel redesign with granite counters new backsplash new cabinets and stainless steel appliances. Guest and primary bathroom redesigned with charming farmhouse finishes. Wood look tile floors and upgraded vinyl windows/sliders throughout. Relax and have fun in your large flat yard with shaded patio that is perfect for entertaining. Raised garden beds on north side of home with fresh veggies and an orange lime lemon guava avocado tree in the back. Enjoy the joys and comforts of a cozy home all within a short distance to Buddy Todd Park Ocean shopping and restaurants.,USD,1275.0,1275.0,Acres,2.0,4.0,0.0,1,2.0,1,One,0,1,0,0,SINGLE_FAMILY,San Diego County
